,Name,Paid Hunting License Holders,Population (2019),percapita
41, South Dakota ,213786,884659,24.165921558476203
50, Wyoming ,135228,578759,23.365165811676363
26, Montana ,222309,1068778,20.80029716180535
28, North Dakota ,135724,762062,17.81009944072792
13, Idaho ,275244,1787065,15.402013916673429
21, Maine ,201370,1344212,14.980523905455389
36, Oklahoma ,512724,3956971,12.957486926237266
0, Alaska ,93559,731545,12.789233745019105
49, West Virginia ,205447,1792147,11.46373595469568
48, Wisconsin ,666670,5822434,11.45002244765677
2, Arkansas ,343300,3017804,11.375821623935815
42, Tennessee ,694458,6829174,10.168989690407654
46, Vermont ,62237,623989,9.974054029798603
23, Minnesota ,545300,5639632,9.669070606025358
29, Nebraska ,180932,1934408,9.353352550237592
1, Alabama ,452400,4903185,9.226655734996742
18, Louisiana ,424918,4648794,9.140392110297855
25, Mississippi ,271281,2976149,9.115168628990014
16, Kansas ,264331,2913314,9.073206664300518
44, Utah ,250565,3205958,7.815604571238925
37, Oregon ,328323,4217737,7.784340275365675
24, Missouri ,472993,6137428,7.706697333149977
38, Pennsylvania[E] ,945731,12801989,7.3873755086026085
17, Kentucky[E] ,319690,4467673,7.155626653965051
10, Georgia ,724269,10617423,6.8215140340551566
12, Iowa ,214398,3155070,6.795348439178846
22, Michigan ,642242,9986857,6.430872095194714
27, North Carolina ,609131,10488084,5.807838686265289
32, New Mexico ,110874,2096829,5.287698710767544
5, Colorado ,296609,5758736,5.150592074371876
3, Arizona ,302383,7278717,4.154344783565565
30, New Hampshire ,55562,1359711,4.086309517243002
40, South Carolina ,208843,5148714,4.056216756261855
43, Texas ,1094753,28995881,3.7755466026364224
15, Indiana ,250481,6732219,3.72063059743006
45, Virginia[E] ,254517,8535519,2.9818573422424577
35, Ohio ,346220,11689100,2.961904680428775
33, Nevada ,89603,3080156,2.9090409706521356
34, New York ,550868,19453561,2.83170777833426
14, Illinois ,293617,12671821,2.3170860762632297
47, Washington ,171940,7614893,2.2579437426106974
20, Maryland ,116702,6045680,1.930337034047452
8, Delaware ,15619,973764,1.603982073685205
6, Connecticut ,32052,3565278,0.899004229123227
9, Florida ,191501,21477737,0.8916255935157414
19, Massachusetts[E] ,55139,6892503,0.7999851432781386
31, New Jersey ,68767,8882190,0.7742122156810426
11, Hawaii ,10608,1415872,0.7492202684988474
39, Rhode Island[F] ,7514,1059361,0.7092955092739869
4, California ,262009,39512223,0.663108729670816
7,District of Columbia,0,705749,0.0
